iter	Logloss
0	0.6562771658
1	0.639415687
2	0.6229784384
3	0.6034532752
4	0.5956905548
5	0.5820129161
6	0.5768080333
7	0.5675899195
8	0.5542225667
9	0.5084604395
10	0.5061203111
11	0.4787657101
12	0.4686848956
13	0.4625431521
14	0.4389326908
15	0.4248429787
16	0.4041918174
17	0.3928098506
18	0.3769713269
19	0.3648427296
20	0.3528301806
21	0.3425113606
22	0.3341556314
23	0.3257678065
24	0.3184511655
25	0.3127069621
26	0.3124782226
27	0.3063061493
28	0.303380742
29	0.2993212091
30	0.2939653952
31	0.292157256
32	0.2885116345
33	0.286844653
34	0.2853038538
35	0.2830086073
36	0.2798538834
37	0.2790924039
38	0.2782379094
39	0.2774102138
40	0.2752329646
41	0.273175623
42	0.2727533481
43	0.271187187
44	0.2702634249
45	0.2687023285
46	0.2676065831
47	0.2667066385
48	0.2656681123
49	0.2656234352
50	0.2647435229
51	0.2645102385
52	0.264448399
53	0.2632810362
54	0.2632661116
55	0.2623661677
56	0.262149421
57	0.2621226307
58	0.2612264942
59	0.2605301446
60	0.2597538019
61	0.2597269146
62	0.2596939582
63	0.2594330379
64	0.2593939637
